covid_fatality_rate,continent,country,age_dependency_ratio,diabetes_prevalence,gni_per_capita_atlas_method,Good_maternal_and_infant_practices,Bad_hygiene_practices,rural_populations,fat_animal_products,good_fat_sources,fat_cereals__excluding_beer,obesity,undernourished,unhealthy_kcals,healthy_kcals,protein_alcoholic_beverages,protein_animal_fats,protein_milk__excluding_butter,protein_oilcrops,protein_stimulants,protein_sugar__sweeteners,protein_vegetable_oils,gni_real,comparative_fatality_rate,population_ages_0014,population_ages_65_and_above,fat_cereals_excluding_beer,fat_eggs,fat_fish_seafood,fat_fruits_excluding_wine,fat_meat,fat_miscellaneous,fat_milk_excluding_butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy_roots,fat_stimulants,fat_treenuts,fat_vegetable_oils,fat_vegetables,improved_water_source_of_population_with_access
217.9334339,south america,chile,45.24316588,10,14060,676.759787,0.05,10.47,32.5206,13.5083,3.1847,28.8,2.7,29.0104,25.1743,0.2314,0.1016,5.226,0.4571,0.316,0,0.0169,high_gni,high_fatality_rate,20.14693332,11.0030114,3.1847,1.4085,0.5204,0.4186,20.2172,0.0339,5.0798,0.0396,1.1596,0.2093,0.0283,0.181,0.4356,0.7241,10.844,0.2602,99
0.354,asia,china,36.57994248,9.8,7820,627.3105752,0.35,44.386,31.0465,15.85,2.5989,6.6,8.5,30.6944,26.0059,0.1648,0.0471,2.4705,1.7892,0.387,0.0088,0.0059,mid_gni,low_fatality_rate,17.23160046,9.551206566,2.5989,2.3066,0.9817,0.2344,21.6062,0.1517,2.2156,0.4784,1.8351,0.0234,0.0676,0.0565,0.9362,1.7979,10.659,0.5763,95.5
269.4287618,south america,colombia,45.61504718,10,7130,228.4314217,2.95,23.564,21.4008,25.1475,1.7347,22.1,4.8,23.4609,26.4664,0.2626,0.0346,8.4243,0.6496,0.1313,0.4699,0.0346,mid_gni,high_fatality_rate,24.28677329,7.039005236,1.7347,1.7819,0.3717,1.2273,11.3996,0.0177,5.9535,0.118,0.9854,0.1652,0.1239,0.2832,0.2655,0.5251,23.0824,0.1829,91.4
2.03,africa,congo,95.91275719,6.4,410,42.39766405,6.35,57.506,12.9993,33.5099,2.7016,8.4,40.3,13.3391,21.1563,0.7335,0.0089,0.5725,1.7531,0.0716,0,0.0179,low_gni,low_fatality_rate,45.9929356,2.963936108,2.7016,0.1377,1.854,0.837,9.6514,0.053,0.678,0.339,5.0429,0.1483,0.0106,1.0806,0.5191,0.0212,26.0091,0.5827,52.4
152.9373837,north america,costa rica,45.36935187,8.5,10210,552.1369111,0.15,23.179,20.5571,27.3652,1.6733,25.7,4.8,24.0045,26.0949,0.0739,0.0739,11.7861,1.4602,0.5545,0.0123,0.0062,mid_gni,high_fatality_rate,22.30866188,8.901047246,1.6733,1.1492,0.9286,0.57,5.6449,0.0138,6.67,0.0552,1.0389,0.2436,0.0414,0.0506,0.4045,0.354,24.8736,0.1701,97.8
3.15,africa,cote d'ivoire,83.49039142,2.3,1410,50.44204029,16,45.82,5.3253,36.514,4.9709,9,19,5.1282,27.6007,0.1859,0,0.6506,2.2727,1.4109,0,0.0084,low_gni,low_fatality_rate,42.47431762,3.026915864,4.9709,0.4271,1.2268,0.5271,2.5809,0.0091,0.5634,0.2545,4.8891,0.1,0.6089,1.2359,1.9357,2.3355,27.7354,0.3272,81.9
296.7992645,europe,croatia,51.1207047,5.6,12690,2000.90318,0.35,41.036,29.3768,15.1796,2.9565,27.1,2.5,30.3552,22.1501,0.642,0.1162,11.4561,0.5866,0.9242,0.0387,0.0221,high_gni,high_fatality_rate,14.89065558,18.93707475,2.9565,0.9476,0.5633,0.2577,11.4896,0,8.7951,0.131,1.8123,0.0175,0.0655,0.0393,2.6726,0.6987,11.7123,0.393,99.6
73.06690108,north america,cuba,43.42712073,10,13410.2027,473.2329026,0.5,22.926,25.9025,18.0644,4.4779,26.7,2.5,20.4868,26.954,0.1187,0.0057,4.3024,2.6063,0.1753,0,0,high_gni,high_fatality_rate,16.3053329,13.97284637,4.4779,1.4788,0.2638,0.6179,16.0233,0.0139,4.7695,0.1458,2.6937,0.6248,0.0417,0.3749,0.1458,0.0069,14.5446,0.5554,94.9
54.74984982,europe,cyprus,41.63596652,9.6,25930,2368.627668,0,33.079,20.9578,23.7064,3.4616,22.6,5.6,25.0287,27.132,0.2117,0.0436,7.3613,1.1335,0.6415,0.0062,0.0125,high_gni,low_fatality_rate,16.55101691,12.84544752,3.4616,1.0044,0.7309,0.3632,10.5506,0.1614,6.6945,0.1031,2.1164,0.0628,0.0538,0.0404,1.9236,0.8609,19.7381,0.2601,100
57.82238977,europe,denmark,55.86142944,7.2,58590,2388.227634,0,12.324,35.4131,11.7891,1.4741,21.3,2.5,32.3233,19.9822,0.3937,0.4246,12.009,0.3185,0.9245,0.0044,0.0575,high_gni,low_fatality_rate,16.8810077,18.95943981,1.4741,1.7484,1.1313,0.5257,9.2408,0,8.8142,0.2285,0.7161,0.0152,0.1752,0.0533,1.6874,1.1846,8.4752,0.2819,100
