country,"gni per capita, atlas method (current us$)","immunization, hib3 (% of children ages 12-23 months)",improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",maternal leave benefits (% of wages paid in covered period),number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)",confirmed,deaths,recovered,active,mortality_rate_covid
cote d'ivoire,1410,83,22.5,10.3,32.8,100,98,26.4,50.9,5.6,0.11295893,0.000618911,0.106105062,0.006234957,0.547908141
croatia,12690,94,97,95.8,97.8,100,208,0.4,0.6,0.3,5.848905473,0.127960199,5.648706468,0.072238806,2.187763157
cuba,6840,96,93.2,89.1,94.4,88,104,0.6,1.6,0.4,0.283760305,0.00206542,0.230821736,0.05087315,0.727874793
cyprus,25930,97,100,100,100,72,126,0,0,0,2.621706711,0.017481359,0.170422535,2.433802817,0.666793073
denmark,58590,93,99.6,99.6,99.6,50,126,0,0,0,3.463218391,0.038016812,3.307359753,0.117841825,1.097730729
djibouti,2550,84,47.4,5.1,59.8,100,98,20,75.6,3.7,0.601315789,0.006376518,0.592307692,0.002631579,1.060427537
dominica,6760,98,81,80,80,60,84,3,3,3,0.168055556,0,0.152777778,0.015277778,0
dominican republic,6130,76,84,75.7,86.2,100,84,2.8,5.9,2,2.115695238,0.02667619,1.577704762,0.511314286,1.260871131
ecuador,6010,78,84.7,80.7,87,100,84,3.9,10.8,0,1.468305636,0.085683285,1.198183999,0.184438353,5.83552107
el salvador,3940,91,75,60,82.4,100,84,2.8,6.5,0.9,0.867721031,0.025813918,0.77813609,0.063771023,2.974909757
estonia,18480,93,97.2,96.6,97.5,100,140,0,0,0,3.569646882,0.034259955,2.828549962,0.706836965,0.959757535
ethiopia,590,86,28,28.2,27.2,100,90,28.6,34.1,5.8,0.12309252,0.001866581,0.109237182,0.011988757,1.516404742
fiji,4800,99,91.1,88.4,93.4,100,84,0,0,0,0.00625,0.000223214,0.005915179,0.000111607,3.571428571
finland,46360,98,97.6,88,99.4,58,147,0,0,0,0.854801953,0.01244348,0.560680051,0.281678423,1.455714951
france,40580,97,98.7,98.9,98.6,73,112,0,0,0,5.199054512,0.121558362,0.367876501,4.709619649,2.338085921
french polynesia,15770,80,98.5,98.5,98.5,90,104,1.4,1.4,1.4,26.07082847,0.231039786,25.88072794,3.4634,0.886200399
gabon,9210,80,41.9,31.5,43.4,100,98,1.8,3.9,1.5,0.513536531,0.003182429,0.483953384,0.026400717,0.619708475
georgia,4160,87,86.3,75.9,95.2,100,183,1.1,2.3,0,7.042261104,0.087994616,6.805248991,0.149017497,1.249522208
germany,45790,94,99.2,99,99.3,100,98,0,0,0,2.74310084,0.073890756,2.451366146,0.217843938,2.693694494
ghana,1480,88,14.9,8.6,20.2,100,84,19.1,33.7,6.8,0.225424002,0.001444984,0.204363917,0.0196151,0.641007338
