continent,country,covid_confirmed_cases,covid_deaths,covid_fatality_rate,age dependency ratio (% of working-age population),"age dependency ratio, old","age dependency ratio, young","age population, age 0, female, interpolated",diabetes prevalence (% of population ages 20 to 79),"gni per capita, atlas method (current us$)","immunization, dpt (% of children ages 12-23 months)","immunization, hepb3 (% of one-year-old children)","immunization, hib3 (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)","immunization, pol3 (% of one-year-old children)",Immunization_average,improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)","improved water source, urban (% of urban population with access)",lifetime risk of maternal death (%),lifetime risk of maternal death (1 in: rate varies by country),maternal leave benefits (% of wages paid in covered period),"maternal mortality ratio (modeled estimate, per 100,000 live births)",number of under-five deaths,number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)","population ages 00-04, female (% of female population)","population ages 00-04, male (% of male population)",population ages 00-14 (% of total),"population ages 00-14, female (% of total)","population ages 00-14, male (% of total)","population ages 00-14, total","population ages 0-14, female","population ages 0-14, male","population ages 05-09, female (% of female population)","population ages 05-09, male (% of male population)","population ages 10-14, female (% of female population)","population ages 15-19, female (% of female population)","population ages 15-19, male (% of male population)",population ages 15-64 (% of total),"population ages 15-64, female","population ages 15-64, female (% of total)","population ages 15-64, male","population ages 15-64, male (% of total)","population ages 15-64, total","population ages 20-24, female (% of female population)","population ages 20-24, male (% of male population)","population ages 25-29, female (% of female population)","population ages 25-29, male (% of male population)","population ages 30-34, female (% of female population)","population ages 30-34, male (% of male population)","population ages 35-39, female (% of female population)","population ages 35-39, male (% of male population)","population ages 40-44, female (% of female population)","population ages 40-44, male (% of male population)","population ages 45-49, female (% of female population)","population ages 45-49, male (% of male population)","population ages 50-54, female (% of female population)","population ages 50-54, male (% of male population)","population ages 55-59, female (% of female population)","population ages 55-59, male (% of male population)","population ages 60-64, female (% of female population)","population ages 60-64, male (% of male population)",population ages 65 and above (% of total),"population ages 65 and above, female","population ages 65 and above, female (% of total)","population ages 65 and above, male","population ages 65 and above, male (% of total)","population ages 65 and above, total","population ages 65-69, female (% of female population)","population ages 65-69, male (% of male population)","population ages 70-74, female (% of female population)","population ages 70-74, male (% of male population)","population ages 75-79, female (% of female population)","population ages 75-79, male (% of male population)","population ages 80 and older, female (% of female population)","population ages 80 and older, male (% of male population)","population ages10-14, male (% of male population)",population growth (annual %),"population, total",rural population (% of total population),rural population growth (annual %),urban population (% of total),urban population growth (annual %),fat_animal products,fat_animal fats,fat_cereals - excluding beer,fat_eggs,"fat_fish, seafood",fat_fruits - excluding wine,fat_meat,fat_miscellaneous,fat_milk - excluding butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy roots,fat_stimulants,fat_treenuts,fat_vegetal products,fat_vegetable oils,fat_vegetables,obesity,undernourished,population,kcal_alcoholic beverages,kcal_animal products,kcal_animal fats,kcal_cereals - excluding beer,kcal_eggs,"kcal_fish, seafood",kcal_fruits - excluding wine,kcal_meat,kcal_milk - excluding butter,kcal_miscellaneous,kcal_offals,kcal_oilcrops,kcal_pulses,kcal_spices,kcal_starchy roots,kcal_stimulants,kcal_sugar & sweeteners,kcal_treenuts,kcal_vegetal products,kcal_vegetable oils,kcal_vegetables,protein_alcoholic beverages,protein_animal products,protein_animal fats,protein_cereals - excluding beer,protein_eggs,"protein_fish, seafood",protein_fruits - excluding wine,protein_meat,protein_milk - excluding butter,protein_offals,protein_oilcrops,protein_pulses,protein_spices,protein_starchy roots,protein_stimulants,protein_sugar & sweeteners,protein_treenuts,protein_vegetal products,protein_vegetable oils,protein_vegetables,protein_miscellaneous,gni_category
north america,bahamas,24476,717,0.001847848,41.24625516,11.69592772,29.55032744,2763,13.2,21310,95,95,95,94,95,94.8,92,92,92,98.4,98.4,98.4,0.151994427,660,100,80,70,91,0,0,0,7.154830306,7.865464289,20.92114046,20.00888611,21.87231847,81178,39630,41548,6.693358645,7.306916829,6.160697155,7.625894922,8.128681754,70.79833719,139836,70.60213469,134875,71.00291119,274711,8.620028072,9.073106019,8.271652311,8.558252657,8.019711,8.296614497,6.810998576,6.996846655,7.323969262,7.395884332,6.772121861,6.72941771,6.908442811,6.616760635,5.730528824,5.216970156,4.518787046,3.990376769,8.280522346,18596,9.388979209,13534,7.124770343,32130,3.305530591,2.879599067,2.29019196,1.937806977,1.79943654,1.302400017,1.993820117,1.004964281,6.699937354,1.287833609,388019,17.126,0.862979822,82.874,1.375855376,30.2259,4.56,3.6327,1.2829,1.4991,0.8995,17.4941,0.3556,5.1318,0.258,2.6077,0.0209,0.2719,0.0349,0.9343,0.4532,19.7741,10.1659,0.3974,32.1,11.22675159,393000,2.9145,14.793,1.4205,10.7274,0.6613,1.2491,4.4575,8.1803,2.988,1.0776,0.2694,1.0287,0.1225,0.2204,0.7103,0.4164,8.6701,0.1714,35.2437,3.1594,1.5185,0.0325,34.1684,0.0895,7.8081,1.6755,5.734,1.8788,20.4311,4.8312,1.4152,0.8052,0.2765,0.244,0.366,0.4311,0,0.1464,15.8276,0.0325,2.6759,1.1305,high_gni
asia,bangladesh,1585539,28072,0.000174365,52.48674876,7.584014398,44.90273436,1519710,8.3,1190,94,94,94,88,94,92.8,60.6,62.1,57.7,86.9,87,86.5,0.421170638,240,100,176,119326,112,1.2,1.8,0,9.411303953,9.632221134,29.44697472,29.11119059,29.776321,47408346,23207056,24201290,9.62419133,9.837551144,10.07569531,9.88315072,10.14064563,65.57946892,52563387,65.93610052,53016700,65.22967485,105580087,9.428808007,9.487825979,9.155431669,8.814946523,8.604984752,8.141716414,7.571985922,7.169528291,6.220170964,6.095762803,5.586812486,5.556985303,4.482886739,4.567434328,3.054343212,3.193993526,1.947526048,2.060836056,4.973556365,3948234,4.952708887,4058975,4.994004144,8007209,1.757915526,1.788917684,1.35358995,1.371099425,0.884121547,0.903093515,0.957081864,0.930893519,10.30654873,1.198570972,160995642,65.723,0.047333238,34.277,3.443734933,9.8365,1.2369,6.9946,1.2664,2.1646,0.427,1.8407,0.0147,3.2249,0.1178,0.6332,0.5448,1.0602,0.2209,0.0295,0.2651,40.1561,29.6422,0.3092,3.4,14.7,169809000,0,2.3695,0.1541,37.5265,0.2312,0.8284,0.655,0.3468,0.7706,0.0193,0.0385,0.1348,1.2329,0.5009,1.9264,0.0193,1.4255,0.1156,47.6401,3.429,0.6165,0,9.9195,0.0083,31.7243,0.7216,5.8306,0.3069,1.2773,1.8578,0.2239,0.5972,3.2512,0.7465,1.9574,0.1161,0.0332,0.1078,40.0846,0,1.2026,0.0249,low_gni
north america,barbados,28565,260,0.0009148,50.4435787,21.30871595,29.13486274,1670,13.6,14800,97,97,97,96,97,96.8,96.2,96.2,96.2,99.7,99.7,99.7,0.047252921,2100,100,27,44,84,0.8,0.8,0.8,5.790366052,6.45341323,19.36597294,18.1708874,20.66516861,55041,26900,28141,6.112578442,6.997561979,6.267942907,6.129465884,6.840412407,66.47010186,97987,66.18999048,90931,66.7746152,188918,6.189585177,6.651686053,6.195664656,6.44753848,6.712420376,6.780196217,6.561784395,6.697949712,7.166354812,7.134884267,6.95222205,6.904300317,7.476408244,7.141493362,7.00423537,6.674450711,5.801849513,5.501703678,14.1639252,23152,15.63912212,17104,12.56021619,40256,4.835212343,4.533104218,3.659170894,3.120961109,2.981646728,2.366790036,4.163092158,2.539360827,7.214193397,0.294224087,284215,68.525,0.409549862,31.475,0.043605871,25.8451,3.9733,2.1187,1.213,1.806,0.4636,13.1382,0.3235,5.6176,0.097,3.2616,0.2318,0.3181,0.1078,0.6038,0.7817,24.1576,15.6882,0.2534,24.8,3.9,287000,1.1224,12.0877,1.157,15.3514,0.5871,1.416,1.934,5.664,3.1428,0.8979,0.1036,1.1915,1.2606,0.2936,1.7095,0.2936,8.0815,0.2763,37.9209,4.4552,1.0534,0.1344,28.2153,0.112,12.3067,1.4508,6.6939,0.689,13.9872,5.3944,0.5826,1.2324,2.6608,0.3137,1.4228,0.3585,0,0.2465,21.7791,0.028,1.4844,0.9075,high_gni
europe,belarus,699110,5578,0.000586356,42.95748424,19.98677271,22.97071152,60817,5.3,6460,99,99,20,99,99,83.2,94.3,95.2,94.1,99.7,99.1,99.9,0.007220806,13800,100,4,567,126,0,0,0,5.595894927,6.841010901,16.06820723,14.58942679,17.77106257,1528569,742819,785749,4.75792737,5.788021332,4.235604491,4.169374596,5.101088041,69.95087105,3442901,67.62070379,3211526,72.63412113,6654426,6.065957971,7.368683881,7.605458713,9.207620478,7.257879656,8.547128613,6.658347594,7.489177028,6.607484765,7.074520186,6.457021304,6.665255853,7.992940987,8.078501353,7.931236604,7.428885139,6.875001599,5.673260559,13.98092172,905769,17.78986942,424236,9.594816302,1330005,4.474571242,3.385907286,3.703227104,2.184397112,4.448598734,2.167426565,5.163472343,1.857085339,5.142030334,0.315856232,9513000,23.333,-1.341790244,76.667,0.825850654,23.8181,7.8662,4.8075,1.5772,0.5151,0.2316,11.5636,0.0519,2.0644,0.2316,0.4392,0,0.016,0.1957,0.8385,1.0462,26.1859,18.2119,0.3394,26.6,2.5,9375000,3.2979,12.2644,2.6748,14.2705,0.8511,0.4863,1.3982,5.7143,2.1884,0.1672,0.3495,0.228,0,0.0152,4.9848,0.3951,4.6049,0.4255,37.7204,6.1246,1.8389,0.3401,27.0935,0.1328,13.7248,2.2901,2.4548,0.441,14.2402,6.0202,1.9554,0.5207,0.0053,0.0213,4.1552,0.3029,0,0.3454,22.9065,0.0213,2.8587,0.17,mid_gni
europe,belgium,2105343,28331,0.00251034,54.24780332,28.11137989,26.13642343,61365,5.1,44360,99,98,98,96,99,98,99.5,99.4,99.5,100,100,100,0.012565669,8000,77,7,522,105,0,0,0,5.552786532,6.012051229,16.94444169,16.2893759,17.62083474,1912302,933910,978392,5.541863361,5.991652247,5.194726007,5.292058959,5.699158911,64.83074188,3635044,63.40287985,3681572,66.30509142,7316617,5.917989802,6.320140613,6.169362123,6.464714349,6.396954334,6.608640498,6.407842663,6.663001806,6.580697066,6.984636545,6.953861881,7.413356944,7.134207454,7.467358481,6.655626191,6.787842135,5.894279376,5.896241137,18.22481643,1164293,20.30774425,892509,16.07407385,2056802,5.543640336,5.38471958,3.990232907,3.606446438,3.811211355,3.071234,6.962659651,4.01167383,5.617131259,0.484152118,11285721,2.142,-1.366071305,97.858,0.525036715,26.7378,12.6234,1.3531,1.1703,0.6188,0.2373,5.6817,0,6.5057,0.1379,0.5226,0.0353,0.0994,0.077,0.0834,1.2056,23.2622,19.3504,0.2982,24.5,2.5,11515000,2.3089,14.1587,4.7771,13.0441,0.69,0.5971,1.38,3.2776,4.6311,0,0.1858,0.2389,0.2919,0.0929,2.1895,0.1194,6.8073,0.5573,35.8413,7.0727,1.7383,0.5466,28.4976,0.4678,13.7687,1.9599,2.999,0.6156,10.0507,11.9121,1.0981,0.2216,0.6993,0.1182,1.9304,0.4235,0.0049,0.5417,21.5098,0.1133,2.5213,0,high_gni
north america,belize,32840,602,0.001675541,56.78092204,5.898806537,50.88211551,4152,16.5,4420,94,94,94,96,94,94.4,90.5,88.2,93.5,99.5,100,98.9,0.079141229,1300,80,28,138,98,1,1.9,0,10.80568089,11.15720475,32.4542775,31.95639988,32.95515455,116604,57580,59024,10.3195085,10.76804538,10.83121049,10.66082816,10.70383688,63.78327076,115851,64.29629876,113314,63.26715205,229165,9.937119484,9.93891817,8.955339849,8.707789887,7.868111864,7.459353225,6.606061615,6.28238342,6.014440874,5.765365374,5.001581725,4.931771485,4.079741152,4.17857781,3.041907394,3.07754154,2.131166647,2.221614258,3.762451745,6752,3.747301355,6766,3.777693407,13518,1.442422426,1.524812399,0.955695043,0.98992764,0.679309369,0.684518492,0.669874516,0.578434876,11.02990441,2.132591267,359287,56.027,2.402727843,43.973,1.7894569,23.7877,9.8102,3.051,0.6759,0.4155,0.3039,10.3435,0.1984,2.5053,0.031,1.4511,0.3783,0.0496,0.031,0.8062,0.3845,26.2123,19.3538,0.2108,22.4,7.5,419000,1.5199,9.1752,2.6135,18.9064,0.2966,0.3707,2.5209,3.9481,1.8906,0.519,0.0371,0.6117,2.2799,0.0371,0.5005,0.2966,7.6367,0.1297,40.8526,5.1158,0.7414,0.201,18.9431,0.0893,18.6156,0.9378,2.3074,1.5035,10.748,4.5999,0.2531,1.7864,5.9918,0.0521,0.4094,0.2903,0,0.1265,31.0607,0.0372,1.3844,0.6624,mid_gni
africa,benin,24935,161,1.48E-05,81.98219189,5.261408648,76.72078324,176842,0.8,860,79,79,79,75,79,78.2,19.7,7.3,35.6,77.9,72.1,85.2,1.974065932,51,100,405,37092,98,53.3,75.6,24.9,15.46933559,15.92447699,42.15840157,41.62491657,42.69463277,4586762,2270173,2316589,13.82276471,14.18684547,12.33281627,10.72011119,10.83237236,54.95043167,3000471,55.01534687,2978042,54.8851823,5978513,9.19910229,9.213540341,7.738564105,7.763526712,6.507165541,6.537916224,5.447332908,5.443121563,4.538952085,4.518951431,3.736880899,3.741502178,3.000084344,2.963076137,2.337216807,2.234595275,1.789936706,1.636580071,2.891166764,183236,3.359736555,131318,2.42018493,314554,1.410372065,1.073526493,1.036858163,0.757489611,0.57696539,0.387932139,0.335540936,0.201236687,12.58331031,2.619974108,10879829,56.05,1.845096901,43.95,3.616977132,6.1742,0.4816,4.6952,0.2064,0.8599,0.1978,3.2849,0.0258,1.2469,0.0946,7.3007,0.6535,2.597,1.0835,0.1118,1.9176,43.8301,24.8775,0.3612,8.2,10.1,12209000,1.7604,2.4864,0.0907,18.4755,0.0544,0.5263,0.7623,1.1978,0.5263,0.0544,0.0726,1.8693,1.6515,1.0163,14.4646,0.0181,1.4338,0.5082,47.5318,4.6461,0.853,0.7448,11.1646,0.0078,18.3955,0.225,3.6853,0.3491,5.6948,1.094,0.45,3.2508,4.275,1.6293,7.7818,0.0233,0,0.5741,38.8393,0,1.7457,0.0698,low_gni
south america,bolivia,599753,19680,0.001835016,63.69471812,10.58357818,53.11113994,117407,7.5,3080,99,99,99,99,99,99,50.3,27.5,60.8,90,75.6,96.7,0.643990641,160,100,206,9415,90,17.1,45.6,4,10.84858209,11.25978571,32.44523742,31.9043928,32.98439779,3479656,1708158,1771498,10.64051296,10.99343384,10.41529775,9.954314446,10.2185277,61.089326,3277031,61.20726785,3274619,60.97175143,6551650,9.110906072,9.280384455,8.25774796,8.324850602,7.47702181,7.46323348,6.530942344,6.465824383,5.448235802,5.34146757,4.538260251,4.413136798,3.802976845,3.676288911,3.256057632,3.119044671,2.83080469,2.668992862,6.465436578,368801,6.888339351,324598,6.043850772,693399,2.123070831,2.022095754,1.777963724,1.651325755,1.278261633,1.110112899,1.709043162,1.260316364,10.73117825,1.529800311,10724705,31.488,0.251782878,68.512,2.122698536,30.4177,4.1685,2.7296,1.5174,0.1831,0.5407,21.1476,0.0436,3.2703,0.1395,1.3604,0.2093,0.1483,0.4796,0.7849,0.7413,19.5779,12.3485,0.1919,18.7,17.1,11633000,0.7859,10.0255,0.9133,21.644,0.5523,0.1062,2.4214,6.7545,1.6355,0.1274,0.085,0.4036,0.9133,0.085,3.5472,0.2761,5.6924,0.7859,39.9533,2.6551,0.6372,0.1826,22.6898,0.0219,18.0364,1.461,0.5552,0.9131,17.0794,3.2143,0.3506,0.5114,2.0747,0.1023,3.4772,0.4894,0,0.431,27.3139,0.0146,0.9204,0.1607,low_gni
europe,bosnia and herzegovina,291313,13442,0.003527699,40.73018063,21.73430827,18.99587237,15003,9.9,4680,82,82,78,83,74,79.8,94.8,92,98.9,99.9,100,99.7,0.014623595,6800,60,11,169,365,0,0,0,4.367477984,4.687598045,13.49808,13.02714522,13.97336393,514333,249335,264998,4.456560073,4.780244784,4.203107162,5.573299407,5.977164715,71.05796323,1326723,69.31803873,1380881,72.81395617,2707604,5.756792836,6.168047579,7.207185084,7.698379763,7.795544851,8.25853133,6.87781647,7.288403444,7.090307294,7.518622944,6.66030988,7.182046887,7.813883744,8.306462967,7.495016889,7.604678423,7.047882276,6.811618122,15.44395678,337907,17.65481605,250572,13.2126799,588479,5.799844825,5.154470113,3.549699185,2.766272369,3.931837834,2.847582142,4.373434206,2.444355272,4.505521102,-0.187153386,3810416,60.233,-0.437535478,39.767,0.193285281,24.6478,2.4453,3.6588,0.8354,0.3049,0.5976,9.6957,0.0915,11.2629,0.1037,0.9208,0.2012,2.2196,0.1342,2.4819,0.9574,25.3552,13.2996,0.7866,19.4,2.5,3281000,3.8856,9.0561,0.5507,21.233,0.2907,0.1836,1.8969,3.0289,4.8799,0.1989,0.1071,0.306,0.7802,1.0402,2.264,0.8414,3.0289,0.2601,40.9515,2.9524,2.264,0.5332,18.3339,0.0633,19.2578,0.7918,0.8341,0.7338,6.7096,9.3808,0.5543,0.6863,1.6998,1.3461,1.8582,0.9449,0.0053,0.2059,31.6634,0.0158,4.1651,0.2164,mid_gni
africa,botswana,219509,2444,0.001080228,55.27026814,5.586747071,49.68352107,27820,5.6,6510,95,95,95,97,96,95.6,63.4,43.1,78.5,96.2,92.3,99.2,0.374878929,270,50,129,2488,84,14.3,33.6,0,11.64064957,11.89666749,31.9980906,31.68144188,32.31520627,723952,358658,365294,10.3615835,10.55901006,9.679208816,9.6430805,9.794950323,64.4038303,727056,64.22325003,730071,64.58467687,1457127,9.686452146,9.817862384,9.74342712,9.880229191,9.148502397,9.321847225,7.462308184,7.675805837,5.545475745,5.707314786,4.243796353,4.251204652,3.442701727,3.29986757,2.925156968,2.701057759,2.382348888,2.134537145,3.598079103,46362,4.095308089,35044,3.10011686,81406,1.530727619,1.331022665,1.16476279,0.909936138,0.796942961,0.531931363,0.602874719,0.327226694,9.859528719,1.898494963,2262485,42.556,1.296349779,57.444,2.346929289,16.9634,4.131,7.183,0.2697,0.3622,0.1696,3.4759,0.1927,8.5241,0.2081,1.1715,0.1156,0.5472,0.1927,0.7399,0.1541,33.0328,22.3815,0.185,16.1,26.4,2317000,1.5598,8.1197,1.047,22.3932,0.1068,0.1923,1.0256,1.8803,4.6795,0.4487,0.2137,0.4915,0.5769,0.3419,2.6709,0.2564,5.9402,0.0427,41.8803,5.4915,0.641,0.3682,20.29,0.1534,21.8932,0.3299,0.8208,0.3759,8.3615,9.3971,1.2274,1.5572,1.3194,0.4066,1.7413,0.3068,0,0.0384,29.71,0.0153,1.189,0.4986,mid_gni
south america,brazil,22291839,619334,0.002979752,44.65985467,11.34809541,33.31175926,1554542,10.4,9850,96,96,96,99,98,97,82.8,51.5,88,98.1,87,100,0.080088381,1200,100,44,52415,120,2.1,13.3,0.2,6.967636215,7.505933078,23.02764602,22.20454214,23.8785037,47862393,23458386,24404007,7.148452878,7.686253694,8.088453042,8.122473007,8.691950933,69.12767902,72847108,68.9534514,70833064,69.30778132,143680172,7.784321701,8.263536218,8.17989548,8.56953303,8.441650712,8.705672947,7.78777093,7.88623953,6.932404667,6.845626692,6.466919629,6.22386308,6.10439276,5.768425077,5.040617893,4.671430063,4.093004624,3.681503748,7.844674968,9341296,8.842006463,6963667,6.813714985,16304963,3.083178391,2.655921134,2.221242122,1.799049631,1.683339361,1.255624984,1.854246589,1.103119236,8.686316923,0.855052949,207847528,14.313,-0.903992772,85.687,1.151920456,24.8515,4.3627,1.1278,0.7706,0.1886,0.2528,14.292,0,5.1654,0.0763,1.7097,0.2528,0.008,0.1204,0.1164,0.1766,25.1445,21.2153,0.1204,22.3,2.5,211812000,1.4314,13.2061,1.5238,14.5913,0.4464,0.2309,1.7239,7.1571,3.7402,0,0.1077,0.7234,2.0317,0.0154,1.7854,0.1385,6.326,0.077,36.8016,7.2033,0.5541,0.2807,29.0557,0.1266,12.1671,1.1831,1.3537,0.7759,18.7486,7.0053,0.6383,0.4788,4.7326,0.022,0.864,0.6879,0.0165,0.066,20.9443,0.022,0.8089,0,mid_gni
europe,bulgaria,747108,30955,0.004312488,51.9098808,30.42372709,21.48615371,28704,5.9,7220,91,92,87,92,91,90.6,86,83.7,86.8,99.4,99,99.6,0.016181967,6200,90,11,634,410,0,0,0,4.457753427,4.984790145,14.14401576,13.37230826,14.96081944,1015256,493556,521700,4.737702648,5.271914657,4.176852182,4.204651259,4.7203523,65.8285065,2340722,63.41902539,2384442,68.37879016,4725164,4.962216919,5.546745759,6.364955101,7.15303653,6.431950334,7.35577701,6.887887844,7.786881234,7.127280878,7.952597537,6.714619622,7.405900721,6.535720862,6.888109251,6.986517447,6.968232334,7.203225128,6.601157481,20.02747774,856605,23.20866635,580966,16.66039041,1437571,7.305744426,6.039259447,5.720353794,4.286570588,4.584998127,3.079196616,5.597570002,3.255363755,4.704114636,-0.638069468,7177991,26.052,-1.866473132,73.948,-0.201681158,27.1456,8.0274,1.8485,1.2201,0.3404,0.2723,9.3523,0.0262,7.9698,0.2356,1.6547,0.0471,0.6179,0.0367,0.1885,0.3404,22.8518,17.5787,0.2461,27.4,3.6,6927000,3.6782,12.29,2.458,17.931,0.5836,0.2829,1.7683,4.3148,4.3855,0.0884,0.2653,0.6366,0.3537,1.2202,0.9019,0.2122,4.6508,0.1415,37.7188,5.252,0.8665,0.6659,24.988,0.24,17.5666,1.6079,1.3379,0.7499,11.6331,8.7833,1.3739,0.7619,0.7859,1.6319,0.6959,0.588,0,0.132,25.012,0.024,1.3139,0.096,mid_gni
africa,burkina faso,17632,318,1.76E-05,92.17971533,4.599451915,87.58026342,323008,2.2,660,91,91,91,88,91,90.4,19.7,6.7,50.4,82.3,75.8,97.5,2.070127335,48,100,371,60477,98,55.1,74.7,9.1,17.04685522,17.68666572,45.57206429,44.77621022,46.38007385,8251082,4084215,4166867,15.02083837,15.43675407,12.70851662,10.60082367,11.14978281,52.03462802,4773533,52.33336567,4647633,51.73132758,9421166,8.879475124,9.261095204,7.442184008,7.66277371,6.294585423,6.380418903,5.146866241,5.092276141,4.087708075,3.906457744,3.361295065,3.073292762,2.698951202,2.312588524,2.158781634,1.702515813,1.662695235,1.190125971,2.393307695,263647,2.890424107,169675,1.888598564,433322,1.237442299,0.853511869,0.873079173,0.5689671,0.496371443,0.304602259,0.283531192,0.161517335,13.25665406,2.893466212,18105570,70.141,1.710039753,29.859,5.729782927,7.2367,0.5981,10.5524,0.4061,0.3692,0.0443,3.5741,0.0148,2.1636,0.1255,11.9406,0.5391,0.096,0.0369,0.0222,0.2658,42.7706,19.1774,0.0665,4.5,20,20903000,2.5188,2.7946,0.1287,31.6051,0.1471,0.2574,0.1471,1.1583,1.0112,0.0368,0.0919,3.6771,2.4269,0.0552,0.478,0.0184,1.765,0.0735,47.1962,4.2103,0.2022,1.366,7.1846,0.0066,29.1784,0.4466,1.4842,0.0591,2.975,1.7666,0.5057,5.7595,5.6019,0.0657,0.2496,0.0328,0,0.0854,42.8121,0,0.3809,0.0394,low_gni
asia,myanmar,530834,19268,0.000357496,49.05411871,7.988812773,41.06530594,441302,6.8,13410.2027,75,75,75,86,76,77.4,79.6,77.1,84.3,80.6,74.4,92.7,0.384770652,260,70,178,46284,98,4.4,6.4,0.5,8.213569541,8.737711783,27.55060128,26.7574614,28.38070074,14848990,7374937,7474053,8.98713708,9.535692142,9.556754784,9.027279057,9.471997401,67.08972611,18545570,67.28632034,17613883,66.88397077,36159453,8.423179307,8.734491732,7.926966563,8.115554579,7.745837864,7.991552226,7.443256463,7.478147699,6.844490111,6.737300467,6.184106694,5.959437834,5.326362184,4.992290863,4.582131958,4.156649573,3.782710142,3.246548394,5.359672609,1641663,5.956218251,1247048,4.735328489,2888711,2.297086913,1.969570211,1.618410307,1.328202819,1.105747479,0.831278272,0.934973553,0.606277186,10.10729682,0.857130965,53897154,65.902,0.030534541,34.098,2.474340736,26.047,3.0066,3.8192,0.9251,2.5441,0.275,18.1335,0.0375,1.2814,0.1563,5.1194,0.6938,0.5313,0.0625,0.025,0.2688,23.953,12.7453,0.2938,5.7,10.6,54704000,0.1296,10.8663,0.8145,23.4358,0.3887,2.0548,1.3514,6.368,1.1107,0.0926,0.1481,1.7771,2.6287,0.3702,0.722,0.074,3.5542,0.4258,39.1151,3.3321,1.2403,0.0161,23.9286,0.0911,16.0006,0.8517,8.7797,0.4018,10.2743,3.2248,0.6964,1.6285,4.5961,0.4339,0.2786,0.3107,0.2625,0.2464,26.0767,0,1.8213,0.0804,high_gni
oceania,cabo verde,41732,352,0.00067627,52.04818784,6.96497793,45.08320991,5238,2.3,3290,93,93,93,92,93,92.8,72.2,54.3,81.6,91.7,87.3,94,0.111282934,900,100,42,267,60,23.9,40.1,15.4,10.03318479,10.56508856,29.65060653,28.88214658,30.43955659,154332,76155,78177,9.640656111,10.08577759,9.208305679,10.21029677,10.63906832,65.76862337,173440,65.77794634,168887,65.75905181,342327,11.06930881,11.09268107,10.00436143,10.7508167,7.957523466,9.171932858,5.952403527,6.663629603,4.914003982,5.21674123,4.889352422,4.321196759,4.914762492,3.729748041,3.514933156,2.34165411,2.351000284,1.831583128,4.580770103,14080,5.339907083,9763,3.801391598,23843,1.098701052,0.869846239,1.361903859,0.837139397,1.435479283,1.091785521,1.443822888,1.002620441,9.788690441,1.275336115,520502,34.474,-0.6947577,65.526,2.327621356,21.9578,4.2923,5.1318,0.8468,0.5256,0.1898,9.9204,0.1679,6.2851,0.0803,1.4819,0.4526,0.9709,0.0949,0.4161,0.1752,28.0385,18.6656,0.3066,10.6,12.6,556000,1.2525,8.5288,1.0537,23.8171,0.338,0.3976,1.4513,3.4394,3.2207,0.4374,0.0795,0.4374,2.2068,0.497,1.8887,0.1789,3.6183,0.0596,41.4712,4.493,1.1332,0.3173,18.5332,0.0649,20.5668,1.0024,2.3004,0.649,8.4734,6.3172,0.3678,0.3534,5.2138,0.6707,1.0673,0.2885,0,0.0505,31.4704,0.0361,1.6875,0.5625,low_gni
asia,cambodia,120493,3012,0.000193351,55.56991959,6.4062806,49.16363899,173923,3,1070,89,89,89,81,87,87,42.4,30.5,88.1,75.5,69.1,100,0.472972946,210,50,161,10257,90,47.5,59.9,0,10.87640019,11.89294136,31.60227833,30.28708311,32.98352468,4922971,2416832,2506139,10.14304342,11.20210251,9.267639505,9.666348987,10.55419514,64.27977868,5179330,64.90595877,4834109,63.62215085,10013439,9.989341765,11.0469464,8.196803281,8.260835461,10.86577328,10.83359195,4.295112187,4.051234023,5.426815017,5.226019373,5.066389966,4.71859349,4.648870359,4.165037982,3.696985305,2.559963907,3.053518627,2.205733129,4.117942991,383583,4.806958117,257906,3.394324464,641489,2.003084058,1.449707389,1.367123887,0.955929559,0.827833471,0.593709999,0.608916701,0.394977517,9.888480807,1.616308513,15577899,79.277,1.353024399,20.723,2.629963923,18.851,0.8839,9.4179,0.5639,4.8461,0.2438,11.7799,0.1372,0.6248,0.1372,8.2902,0.2743,0.5029,0.3657,0.061,0.3048,31.149,11.2313,0.2591,3.5,16.4,15497000,1.4153,4.0437,0.1011,33.0166,0.1011,1.7792,0.647,1.7792,0.2022,0.182,0.0809,1.8601,0.93,0.1415,1.6983,0.0404,4.1852,0.0404,45.9361,1.3142,0.3639,0.4817,14.6494,0.0153,25.843,0.2982,10.2607,0.2982,3.2571,0.3441,0.474,4.5722,2.2173,0.1988,0.5046,0.0535,0,0.0382,35.3544,0,0.8946,0.2294,low_gni
